Access Log
===========
alice (admin) ACCESS survey_data.csv
alice (admin) ACCESS drone_images.csv
alice (admin) ACCESS client_locations.csv
alice (admin) ACCESS terrain_maps.csv
bob (analyst) ACCESS survey_data.csv
bob (analyst) DENIED drone_images.csv
bob (analyst) ACCESS client_locations.csv
bob (analyst) ACCESS terrain_maps.csv
charlie (guest) DENIED survey_data.csv
charlie (guest) DENIED drone_images.csv
charlie (guest) DENIED client_locations.csv
charlie (guest) DENIED terrain_maps.csv
alice (admin) ACCESS survey_data.csv
alice (admin) ACCESS drone_images.csv
alice (admin) ACCESS client_locations.csv
alice (admin) ACCESS terrain_maps.csv
bob (analyst) ACCESS survey_data.csv
bob (analyst) DENIED drone_images.csv
bob (analyst) DENIED client_locations.csv
bob (analyst) ACCESS terrain_maps.csv
charlie (guest) DENIED survey_data.csv
charlie (guest) DENIED drone_images.csv
charlie (guest) DENIED client_locations.csv
charlie (guest) DENIED terrain_maps.csv
alice (admin) ACCESS survey_data.csv [medium]
alice (admin) ACCESS drone_images.csv [high]
alice (admin) ACCESS client_locations.csv [high]
alice (admin) ACCESS terrain_maps.csv [medium]
bob (analyst) ACCESS survey_data.csv [medium]
bob (analyst) DENIED drone_images.csv [high]
bob (analyst) DENIED client_locations.csv [high]
bob (analyst) ACCESS terrain_maps.csv [medium]
charlie (guest) DENIED survey_data.csv [medium]
charlie (guest) DENIED drone_images.csv [high]
charlie (guest) DENIED client_locations.csv [high]
charlie (guest) DENIED terrain_maps.csv [medium]
alice (admin) ACCESS survey_data.csv [medium]
alice (admin) ACCESS drone_images.csv [high]
alice (admin) ACCESS client_locations.csv [high]
alice (admin) ACCESS terrain_maps.csv [medium]
bob (analyst) ACCESS survey_data.csv [medium]
bob (analyst) DENIED drone_images.csv [high]
bob (analyst) DENIED client_locations.csv [high]
bob (analyst) ACCESS terrain_maps.csv [medium]
charlie (guest) DENIED survey_data.csv [medium]
charlie (guest) DENIED drone_images.csv [high]
charlie (guest) DENIED client_locations.csv [high]
charlie (guest) DENIED terrain_maps.csv [medium]
busra (guest) DENIED survey_data.csv [medium]
busra (guest) DENIED drone_images.csv [high]
busra (guest) DENIED client_locations.csv [high]
busra (guest) DENIED terrain_maps.csv [medium]
alice (admin) ACCESS survey_data.csv [medium]
alice (admin) ACCESS drone_images.csv [high]
alice (admin) ACCESS client_locations.csv [high]
alice (admin) ACCESS terrain_maps.csv [medium]
alice (admin) ACCESS elevation_models.csv [medium]
alice (admin) ACCESS land_parcels.csv [high]
alice (admin) ACCESS traffic_patterns.csv [medium]
alice (admin) ACCESS satellite_imagery.csv [high]
alice (admin) ACCESS weather_data.csv [low]
alice (admin) ACCESS topographic_maps.csv [medium]
alice (admin) ACCESS infrastructure_layers.csv [high]
alice (admin) ACCESS demographics_data.csv [high]
alice (admin) ACCESS hydrology_layers.csv [medium]
alice (admin) ACCESS forest_cover.csv [medium]
alice (admin) ACCESS utility_networks.csv [high]
alice (admin) ACCESS protected_areas.csv [high]
alice (admin) ACCESS soil_maps.csv [medium]
alice (admin) ACCESS urban_planning.csv [high]
alice (admin) ACCESS emergency_routes.csv [high]
alice (admin) ACCESS geological_surveys.csv [medium]
bob (analyst) ACCESS survey_data.csv [medium]
bob (analyst) DENIED drone_images.csv [high]
bob (analyst) DENIED client_locations.csv [high]
bob (analyst) ACCESS terrain_maps.csv [medium]
bob (analyst) ACCESS elevation_models.csv [medium]
bob (analyst) DENIED land_parcels.csv [high]
bob (analyst) ACCESS traffic_patterns.csv [medium]
bob (analyst) DENIED satellite_imagery.csv [high]
bob (analyst) ACCESS weather_data.csv [low]
bob (analyst) ACCESS topographic_maps.csv [medium]
bob (analyst) DENIED infrastructure_layers.csv [high]
bob (analyst) DENIED demographics_data.csv [high]
bob (analyst) ACCESS hydrology_layers.csv [medium]
bob (analyst) ACCESS forest_cover.csv [medium]
bob (analyst) DENIED utility_networks.csv [high]
bob (analyst) DENIED protected_areas.csv [high]
bob (analyst) ACCESS soil_maps.csv [medium]
bob (analyst) DENIED urban_planning.csv [high]
bob (analyst) DENIED emergency_routes.csv [high]
bob (analyst) ACCESS geological_surveys.csv [medium]
charlie (guest) DENIED survey_data.csv [medium]
